r p q1 q2
58 0.31608283001396686 0.04480103650276042 0.12287730413548155
59 0.3379209081605529 0.09361438041242677 0.12035469673348301
60 0.3779040082514735 0.05251841073385812 0.1791193093584379
61 0.21876178483554243 0.06284584302432183 0.13998482591968645
62 0.08504642483446583 0.028874254884501238 0.1011380230289188
63 0.24839441477995194 0.06339458998557382 0.1502327599025437
64 0.2657291587816591 0.07340861068200118 0.1572025266199409
65 0.2607101254752711 0.05258968395476628 0.1226921510803441
66 0.338501253767119 0.023321561591514793 0.10017069781428949
67 0.3173657515511119 0.06836316472942684 0.06759024863032752
68 0.18075442826042462 0.036612288429560776 0.09985718337356811
69 0.15591792265289933 0.06324183774727374 0.10388448793453084
70 0.23145764939040056 0.07735423006760829 0.12250992366770547
71 0.1677404940856954 0.03938582284572514 0.09485743866340841
72 0.15375586934129015 0.03001372298027342 0.06653551918552797
73 0.07169648100464969 0.058873504845827596 0.056900358419232515
74 0.23888236199457114 0.02023646100774613 0.07426541936824979
75 0.0405599395620182 0.05795404554281301 0.05362980845568724
76 0.17302369756989724 0.048136098020206936 0.11211484120459202
77 0.14656009289168723 0.047571772836344894 0.06494546618238009
78 0.29728538700735174 0.04647781202889991 0.10420155013044509
79 0.1711154397941263 0.05919339868743991 0.08627198406675862
80 0.16316373601368503 0.06370503354584126 0.07899517544825427
81 0.2639985677086402 0.09252077273423463 0.09662387258451033
82 0.12962262740214517 0.05449552084167736 0.06404703066460138
83 0.1224570197312297 0.10405155924539759 0.06522622347565316
84 0.1535194464838922 0.042031134301310925 0.12134624251323654
85 0.1992873630832607 0.018314000117750896 0.07837749310823514
86 0.14273905810570994 0.09519418590803606 0.049563892140382475
87 0.16997247494871517 0.037519780813891915 0.10968506848528417
88 0.2251965385075041 0.06526933880636812 0.11636648367967843
89 0.17139698869311915 0.034345316972288924 0.0970806367584837
90 0.17195778029661865 0.030639520138326628 0.0762606906745421
91 0.16929193259005842 0.032234324086463144 0.10934481186484465
92 0.176742248635023 0.056303402907921525 0.13187184037488292
93 0.11817593059136056 0.07042402635892915 0.09670720609086512
94 0.13888850790736917 0.03409006698472571 0.11522530622751684
95 0.17920218164701388 0.08138413439129755 0.10948276594204587
96 0.3808326000710189 0.07551027254782587 0.09970794988437061
97 0.2594449776478884 0.03688824253776267 0.17179479272512715
98 0.1454207232466946 0.11536838598998549 0.07211334216210182
99 0.25144963704421985 0.01732861491874214 0.1397745352900966
100 0.20572330191940888 0.06172592089648144 0.09177695271836642
101 0.22557008454482208 0.04535932885997038 0.11631783716608478
102 0.15819142595746194 0.03717159061862027 0.10491691061927903
103 0.19632946792244163 0.024500500580817045 0.1362259825402435
104 0.08426472558128853 0.09781215673443913 0.04798248751170485
105 0.19697706957739208 0.04111951483340138 0.0759997236512634
106 0.1464199058350037 0.024160887317334314 0.1059578368782568
107 0.14554568601073764 0.057096848665434664 0.09412748071609654
108 0.17406601903085964 0.06443501119552333 0.07230940395959247
109 0.14965678164280383 0.075264544855571 0.07108119978864942
110 0.2443443125893897 0.05634470143068496 0.09451177167253434
111 0.1886986394562203 0.032039970118793844 0.12842047486451105
112 0.32055484253227134 0.03878229750746405 0.09058428748004199
113 0.06986757912508107 0.07308330000479071 0.07675686304380633
114 0.3313140828544155 0.05197133866866829 0.12961316317830196
115 0.1953508448189094 0.024084540743576882 0.1103905926426084
116 0.12316653131862328 0.035881923702879126 0.07970685477769274
117 0.29003662970889627 0.06353579933444577 0.10473801190395546
118 0.3837965043571722 0.03853090372107372 0.16498286121636643
119 0.16335813420893486 0.035548621928743515 0.13597625258079843
120 0.08727290663102814 0.04729248890937831 0.07548523833659476
121 0.22543444144777142 0.04691965706450125 0.08650639533608487
122 0.23603994434742692 0.05007064294882336 0.07346890346767253
123 0.1655888370214628 0.05458035209984918 0.09168848218375583
124 0.24985646690815264 0.04174808537353031 0.13025865790160465
125 0.23461305077741565 0.04993994998095329 0.09292260144150855
126 0.13495317403295273 0.050322107346975994 0.13399958959930164
127 0.14138357636479043 0.047199181213037435 0.10532304633457862
128 0.46546840146577817 0.08545441353079564 0.1144325638074809
129 0.1903902387469698 0.045709621682218135 0.07519866676440551
130 0.1773948969197753 0.08836682998024391 0.1636081753585856
131 0.12107955956193864 0.03341314329527343 0.12363402176516121
132 0.15922451508766394 0.03504928052817053 0.10299789857002324
133 0.24281053198265676 0.02479050799685471 0.12999374678545175
134 0.15556208840436356 0.03510722403721917 0.16570788043419699
135 0.322627722546799 0.08037831662404583 0.10333083816511064
136 0.187109764299184 0.09489267749915363 0.06452645719091905
137 0.2210419892708957 0.06769860595467474 0.04907091002473705
