x y density
0.009999999999999998 0.05 0.0
0.019999999999999997 0.05 0.0
0.03 0.05 0.0
0.039999999999999994 0.05 0.0
0.049999999999999996 0.05 0.0
0.06 0.05 0.0
0.07 0.05 0.0
0.08000000000000002 0.05 0.0
0.09000000000000001 0.05 0.005
0.1 0.05 0.0
0.11000000000000001 0.05 0.0
0.12000000000000001 0.05 0.0
0.13 0.05 0.0
0.14 0.05 0.0
0.15000000000000002 0.05 0.0
0.009999999999999998 0.06 0.0
0.019999999999999997 0.06 0.0
0.03 0.06 0.005
0.039999999999999994 0.06 0.01
0.049999999999999996 0.06 0.0
0.06 0.06 0.005
0.07 0.06 0.01
0.08000000000000002 0.06 0.0
0.09000000000000001 0.06 0.02
0.1 0.06 0.01
0.11000000000000001 0.06 0.0
0.12000000000000001 0.06 0.0
0.13 0.06 0.0
0.14 0.06 0.0
0.15000000000000002 0.06 0.0
0.009999999999999998 0.07 0.0
0.019999999999999997 0.07 0.0
0.03 0.07 0.005
0.039999999999999994 0.07 0.01
0.049999999999999996 0.07 0.02
0.06 0.07 0.035
0.07 0.07 0.015
0.08000000000000002 0.07 0.015
0.09000000000000001 0.07 0.01
0.1 0.07 0.01
0.11000000000000001 0.07 0.005
0.12000000000000001 0.07 0.005
0.13 0.07 0.005
0.14 0.07 0.0
0.15000000000000002 0.07 0.0
0.009999999999999998 0.08000000000000002 0.0
0.019999999999999997 0.08000000000000002 0.01
0.03 0.08000000000000002 0.015
0.039999999999999994 0.08000000000000002 0.02
0.049999999999999996 0.08000000000000002 0.03
0.06 0.08000000000000002 0.03
0.07 0.08000000000000002 0.015
0.08000000000000002 0.08000000000000002 0.025
0.09000000000000001 0.08000000000000002 0.02
0.1 0.08000000000000002 0.02
0.11000000000000001 0.08000000000000002 0.005
0.12000000000000001 0.08000000000000002 0.005
0.13 0.08000000000000002 0.01
0.14 0.08000000000000002 0.0
0.15000000000000002 0.08000000000000002 0.0
0.009999999999999998 0.09000000000000001 0.0
0.019999999999999997 0.09000000000000001 0.015
0.03 0.09000000000000001 0.03
0.039999999999999994 0.09000000000000001 0.015
0.049999999999999996 0.09000000000000001 0.03
0.06 0.09000000000000001 0.025
0.07 0.09000000000000001 0.02
0.08000000000000002 0.09000000000000001 0.02
0.09000000000000001 0.09000000000000001 0.02
0.1 0.09000000000000001 0.01
0.11000000000000001 0.09000000000000001 0.005
0.12000000000000001 0.09000000000000001 0.005
0.13 0.09000000000000001 0.005
0.14 0.09000000000000001 0.005
0.15000000000000002 0.09000000000000001 0.0
0.009999999999999998 0.1 0.01
0.019999999999999997 0.1 0.01
0.03 0.1 0.02
0.039999999999999994 0.1 0.015
0.049999999999999996 0.1 0.04
0.06 0.1 0.02
0.07 0.1 0.01
0.08000000000000002 0.1 0.015
0.09000000000000001 0.1 0.01
0.1 0.1 0.015
0.11000000000000001 0.1 0.01
0.12000000000000001 0.1 0.0
0.13 0.1 0.0
0.14 0.1 0.0
0.15000000000000002 0.1 0.0
0.009999999999999998 0.11000000000000001 0.005
0.019999999999999997 0.11000000000000001 0.005
0.03 0.11000000000000001 0.01
0.039999999999999994 0.11000000000000001 0.005
0.049999999999999996 0.11000000000000001 0.005
0.06 0.11000000000000001 0.005
0.07 0.11000000000000001 0.0
0.08000000000000002 0.11000000000000001 0.015
0.09000000000000001 0.11000000000000001 0.005
0.1 0.11000000000000001 0.0
0.11000000000000001 0.11000000000000001 0.0
0.12000000000000001 0.11000000000000001 0.01
0.13 0.11000000000000001 0.0
0.14 0.11000000000000001 0.0
0.15000000000000002 0.11000000000000001 0.005
0.009999999999999998 0.12000000000000001 0.0
0.019999999999999997 0.12000000000000001 0.0
0.03 0.12000000000000001 0.005
0.039999999999999994 0.12000000000000001 0.01
