n p
0 0.6
1 0.3103754064439844
2 0.24353602378236944
3 0.21696982055476613
4 0.2042986480248568
5 0.19773294052088564
6 0.19418467570428316
7 0.19222344632010627
8 0.19112591217445357
9 0.19050745633903418
10 0.19015760153361144
11 0.18995925648734488
12 0.18984666756102136
13 0.18978271220844023
14 0.18974636823356789
15 0.18972571029440455
16 0.18971396678610916
17 0.1897072904110729
18 0.1897034946245189
19 0.18970133651646887
20 0.18970010949978763
