n p
0 0.55
1 0.30661118090452294
2 0.24566955953416394
3 0.2210417875441206
4 0.2092812077409121
5 0.20322018498012812
6 0.1999737008122712
7 0.1981988076845518
8 0.19721758027051758
9 0.1966717779184349
10 0.1963671404511091
11 0.19619678427603013
12 0.1961014180663038
13 0.19604799980153007
14 0.19601806820582884
15 0.19600129364666108
16 0.1959918916987875
17 0.19598662170562786
18 0.19598366766440833
19 0.1959820117760268
20 0.19598108355787755
